conversation_id,tweet_id,customer_message,turn_count,candidate_intent,gold_intent,expected_escalation,annotation_notes,ai_intent,ai_escalation,ai_confidence,ai_reason,ai_source,annotation_status,annotation_method
AmazonHelp_2317871,2317870,@AmazonHelp Hi itâs not my account itâs my mums account. Yes she received the email however it is asking for billing information to be faxed for the card that was used. It was not her card that was used it was my partners card. How do we resolve this?,4,payment_billing,payment_billing,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,,,,,,human_reviewed,manual_human_review
AmazonHelp_1454262,1454261,@AmazonHelp It's providing a USPS tracking but when I pull that up it says the package hasn't even left Illinois https://t.co/7DNxY0CaqE,3,delivery_problem,delivery_problem,False,"Customer reports a delivery, tracking, lateness, or package-arrival problem.",,,,,,human_reviewed,manual_human_review
AmazonHelp_2352289,2352289,@AmazonHelp 2 attempts to order an orthapedic chair end in abject failure. Completely useless service from Amazon,2,order_management,order_management,False,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",,,,,,human_reviewed,manual_human_review
AmazonHelp_1730755,1730755,"@115850 price fr ths prdct is 999 oly &amp; u r showing 1390 rs just to show 541 rs off. Cheating people, shame on u premium brand.#Unexpected https://t.co/FGCOnzJRGf",8,product_information,product_information,False,"Customer is asking for product information, pricing, availability, compatibility, or program details.",product_information,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2687484,2687484,@116090 you  have now missed deliver commitments twice in two days. Been waiting on hold 26 minutes to speak to a manager not good at all. I paid for next day shipping and I am a PRIME member! https://t.co/90OGlt2sD7,5,prime_membership,prime_membership,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,prime_membership,1.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1434942,1434941,@AmazonHelp Itâs only giving me the option to email ð©,4,account_access,account_access,False,"Customer reports an account, login, verification, suspicious-email, or account-related access issue.",account_access,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2398303,2398302,"@AmazonHelp Yes, first thing we did was contacted @115821 and we were told that since it was a third-party, we can't receive a refund. We are stuck!",4,returns_refunds,returns_refunds,True,Escalation is appropriate because the customer reports an unresolved or high-impact support issue.,returns_refunds,1.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1955740,1955739,"@AmazonHelp This is already been reported and apparently been investigated but most importantly, this is Diwali and we were expecting it on time.",4,technical_issue,technical_issue,False,"Customer reports an app, website, device, Alexa, or other technical malfunction.",technical_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2176662,2176660,@AmazonHelp Thank you :) appreciate it,4,technical_issue,technical_issue,False,"Customer reports an app, website, device, Alexa, or other technical malfunction.",technical_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_259360,259360,"So much for my 2 day @115821 guaranteed shipping!ð ugh, ordered it last week, was supposed to show up on Sun/Mon and here we are a week l8r https://t.co/MOWuwyZH2c",4,order_management,order_management,False,"Customer is asking about an order lifecycle issue such as cancellation, dispatch, preorder, or order status.",order_management,0.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1326952,1326952,Been on hold with @115821 customer service for 45 mins for $ they never refunded me...because THIS IS HOW I WANT TO SPEND MY SATURDAY.,8,returns_refunds,returns_refunds,True,Refund has not arrived and the customer has already spent 45 minutes waiting on customer service.,support_followup,0.0,75.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_422521,422520,"@AmazonHelp @115850 You are redirecting me to support, but unfortunately it doesn't help much. I'm getting boilerplate response saying, you'll need to wait for 48 hours. And now after 48 hours, I'm told to wait till EoD again :(",4,support_followup,support_followup,True,Customer is following up on prior support contact or asking to reach customer service.,support_followup,1.0,80.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_109956,109956,Hey @115850 @AmazonHelp either stop creeping me out with your ads everywhere or I'm uninstalling the app!,2,technical_issue,technical_issue,False,"Customer reports an app, website, device, Alexa, or other technical malfunction.",technical_issue,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_1221890,1221890,@AmazonHelp hey Amazon! My housemate bought a product from you guys and it's faulty! What does she need to do to get it replaced??,4,product_issue,product_issue,False,The customer reports a faulty product and asks how to get it replaced.,order_management,0.0,65.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
AmazonHelp_2508092,2508092,@115821 hi! Have an issue. Have been trying to call customer service but line keeps getting disconnected. What should I do?,2,support_followup,support_followup,False,Customer is following up on prior support contact or asking to reach customer service.,support_followup,0.0,70.0,Keyword-based fallback suggestion; review before accepting.,heuristic_fallback,human_reviewed,manual_human_review
